grant_id,is_center_grant,reason,grant_program_name
R305A180181,FALSE,not a Research and Development Center program,Education Research Grants
R305A180182,FALSE,not a Research and Development Center program,Education Research Grants
R305A180212,FALSE,not a Research and Development Center program,Education Research Grants
R305A180224,FALSE,not a Research and Development Center program,Education Research Grants
R305A180227,FALSE,not a Research and Development Center program,Education Research Grants
R305A180241,FALSE,not a Research and Development Center program,Education Research Grants
R305A180259,FALSE,not a Research and Development Center program,Education Research Grants
R305A180290,FALSE,not a Research and Development Center program,Education Research Grants
R305A180293,FALSE,not a Research and Development Center program,Education Research Grants
R305A180326,FALSE,not a Research and Development Center program,Education Research Grants
R305A180336,FALSE,not a Research and Development Center program,Education Research Grants
R305A180374,FALSE,not a Research and Development Center program,Education Research Grants
R305A180377,FALSE,not a Research and Development Center program,Education Research Grants
R305A180401,FALSE,not a Research and Development Center program,Education Research Grants
R305A180429,FALSE,not a Research and Development Center program,Education Research Grants
R305A180513,FALSE,not a Research and Development Center program,Education Research Grants
R305A190065,FALSE,not a Research and Development Center program,Education Research Grants
R305A190088,FALSE,not a Research and Development Center program,Education Research Grants
R305A190162,FALSE,not a Research and Development Center program,Education Research Grants
R305A190168,FALSE,not a Research and Development Center program,Education Research Grants
R305A190256,FALSE,not a Research and Development Center program,Education Research Grants
R305A190360,FALSE,not a Research and Development Center program,Education Research Grants
R305A190478,FALSE,not a Research and Development Center program,Education Research Grants
R305A190521,FALSE,not a Research and Development Center program,Education Research Grants
R305A200035,FALSE,not a Research and Development Center program,Education Research Grants
R305A200060,FALSE,not a Research and Development Center program,Education Research Grants
R305A200101,FALSE,not a Research and Development Center program,Education Research Grants
R305A200254,FALSE,not a Research and Development Center program,Education Research Grants
R305A200297,FALSE,not a Research and Development Center program,Education Research Grants
R305A200307,FALSE,not a Research and Development Center program,Education Research Grants
R305A200436,FALSE,not a Research and Development Center program,Education Research Grants
R305A210008,FALSE,not a Research and Development Center program,Education Research Grants
R305A210017,FALSE,not a Research and Development Center program,Education Research Grants
R305A210130,FALSE,not a Research and Development Center program,Education Research Grants
R305A210157,FALSE,not a Research and Development Center program,Education Research Grants
R305A210269,FALSE,not a Research and Development Center program,Education Research Grants
R305A210276,FALSE,not a Research and Development Center program,Education Research Grants
R305A210286,FALSE,not a Research and Development Center program,Education Research Grants
R305A210292,FALSE,not a Research and Development Center program,Education Research Grants
R305A210412,FALSE,not a Research and Development Center program,Education Research Grants
R305A210462,FALSE,not a Research and Development Center program,Education Research Grants
R305A210506,FALSE,not a Research and Development Center program,Education Research Grants
R305A220036,FALSE,not a Research and Development Center program,Education Research Grants
R305A220107,FALSE,not a Research and Development Center program,Education Research Grants
R305A220281,FALSE,not a Research and Development Center program,Education Research Grants
R305B070048,FALSE,not a Research and Development Center program,Education Research Grants
R305B070074,FALSE,not a Research and Development Center program,Education Research Grants
R305B070354,FALSE,not a Research and Development Center program,Education Research Grants
R305B070508,FALSE,not a Research and Development Center program,Education Research Grants
R305B070542,FALSE,not a Research and Development Center program,Education Research Grants
R305B070702,FALSE,not a Research and Development Center program,Education Research Grants
R305B077307,FALSE,not a Research and Development Center program,Education Research Grants
R305C080009,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C080015,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C080022,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C090022,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C090023,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C100023,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C100024,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C110011,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C120001,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C120008,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C140007,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C140008,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C140018,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C150007,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C150017,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C160004,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C180025,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C190004,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C190007,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C190014,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C200008,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C200012,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
R305C200016,TRUE,program name contains 'Center' (IES Research and Development Center grant),Education Research and Development Centers
