grant_id,award_year
R305A130195,2013
R305A130206,2013
R305A130336,2013
R305A130400,2013
R305A130700,2011
R305A140059,2014
R305A140070,2014
R305A140092,2014
R305A140121,2014
R305A140189,2014
R305A140221,2014
R305A140253,2014
R305A140298,2014
R305A140340,2014
R305A140356,2014
R305A140361,2014
R305A140363,2014
R305A140378,2014
R305A140386,2014
R305A140488,2014
R305A140493,2014
R305A140559,2014
R305A140692,2012
R305A140698,2011
R305A150043,2015
R305A150046,2015
R305A150049,2015
R305A150057,2015
R305A150058,2015
R305A150088,2015
R305A150108,2015
R305A150142,2015
R305A150169,2015
R305A150200,2015
R305A150207,2015
R305A150221,2015
R305A150243,2015
R305A150253,2015
R305A150325,2015
R305A150407,2015
R305A150429,2015
R305A150431,2015
R305A150438,2015
R305A150463,2015
R305A150477,2015
R305A150488,2015
R305A150517,2015
R305A160013,2016
R305A160026,2016
R305A160060,2016
R305A160082,2016
R305A160109,2016
R305A160111,2016
R305A160140,2016
R305A160166,2016
R305A160177,2016
R305A160188,2016
R305A160223,2016
R305A160241,2016
R305A160242,2016
R305A160255,2016
R305A160261,2016
R305A160263,2016
R305A160273,2016
R305A160346,2016
R305A160388,2016
R305A160400,2016
R305A170044,2017
R305A170047,2017
R305A170052,2017
R305A170068,2017
R305A170074,2017
R305A170111,2017
R305A170114,2017
R305A170139,2017
R305A170152,2017
R305A170160,2017
R305A170171,2017
R305A170180,2017
R305A170241,2017
R305A170243,2017
R305A170250,2017
R305A170288,2017
R305A170471,2017
R305A170498,2017
R305A170523,2017
R305A170529,2017
R305A170635,2016
R305A170640,2015
R305A170641,2017
R305A180004,2018
R305A180050,2018
R305A180060,2018
R305A180154,2018
R305A180181,2018
R305A180182,2018
R305A180212,2018
R305A180224,2018
R305A180227,2018
R305A180241,2018
R305A180259,2018
R305A180290,2018
R305A180293,2018
R305A180326,2018
R305A180336,2018
R305A180374,2018
R305A180377,2018
R305A180401,2018
R305A180429,2018
R305A180513,2018
R305A190065,2019
R305A190088,2019
R305A190162,2019
R305A190168,2019
R305A190256,2019
R305A190360,2019
R305A190478,2019
R305A190521,2016
R305A200035,2020
R305A200060,2020
R305A200101,2020
R305A200254,2020
R305A200297,2020
R305A200307,2020
R305A200436,2020
R305A210008,2021
R305A210017,2021
R305A210130,2021
R305A210157,2021
R305A210269,2021
R305A210276,2021
R305A210286,2021
R305A210292,2021
R305A210412,2021
R305A210462,2021
R305A210506,2021
R305A220036,2022
R305A220107,2022
R305A220281,2022
R305B070048,2007
R305B070074,2007
R305B070354,2007
R305B070508,2007
R305B070542,2007
R305B070702,2007
R305B077307,2007
R305C080009,2008
R305C080015,2008
R305C080022,2008
R305C090022,2009
R305C090023,2009
R305C100023,2010
R305C100024,2010
R305C110011,2011
R305C120001,2012
R305C120008,2012
R305C140007,2014
R305C140008,2014
R305C140018,2014
R305C150007,2015
R305C150017,2015
R305C160004,2016
R305C180025,2018
R305C190004,2019
R305C190007,2019
R305C190014,2019
R305C200008,2020
R305C200012,2020
R305C200016,2020
R305C210003,2021
R305E040085,2004
R305E050052,2005
R305E050135,2005
R305E090003,2009
R305E090005,2009
R305E090009,2009
R305E090010,2009
R305E090019,2009
R305E100008,2010
R305E100013,2010
R305E100030,2010
R305E100043,2010
R305E110019,2011
R305E120003,2012
R305E120006,2012
R305E120010,2012
R305E130009,2013
R305E150005,2015
R305E150006,2015
R305E190002,2015
R305F050006,2005
R305F050051,2005
R305F050069,2005
R305F050080,2005
R305F050117,2005
R305F050122,2005
R305F050161,2005
R305F050223,2005
R305F050245,2005
R305F050256,2005
R305F050274,2005
R305F050284,2005
R305F100002,2010
R305F100005,2010
R305F100007,2010
R305F100013,2010
R305F100026,2010
R305F100027,2010
R305G030140,2003
R305G040089,2004
R305G040103,2004
R305G040104,2004
R305G040145,2004
R305G050005,2005
R305G050216,2005
R305H030031,2003
R305H050036,2005
R305H060042,2006
R305H060080,2006
R305H140028,2014
R305H140045,2014
R305H140065,2014
R305H150027,2015
R305H170006,2017
R305H170042,2017
R305H170085,2017
R305H190004,2019
R305H190035,2019
R305H190036,2019
R305J020014,2002
R305J020020,2002
R305J020026,2002
R305J020027,2002
R305J020039,2002
R305J020040,2002
R305J020051,2002
R305J030037,2003
R305J030084,2003
R305J030093,2003
R305J030103,2003
R305J030120,2003
R305J030138,2003
R305K040001,2004
R305K050004,2005
R305K050045,2005
R305K050050,2005
R305K050157,2005
R305K060142,2006
R305L030002,2003
R305L030003,2003
R305L030004,2003
R305L030065,2003
R305L030162,2003
R305L030165,2003
R305L030173,2003
R305M030052,2003
R305M030090,2003
R305M030099,2003
R305M040086,2004
R305M050031,2005
R305M050072,2005
R305M050223,2005
R305M050226,2005
R305M050270,2005
R305R060022,2006
R305R060059,2006
R305R220012,2022
R305R220024,2022
R305S210005,2021
R305S210008,2021
R305S210026,2021
R305S220003,2022
R305T210046,2021
R305U050002,2005
R305U070006,2007
R305W020002,2002
R305W020005,2002
R305W030036,2003
R305W030257,2003
R305W060016,2006
R305W060027,2006
R305X220016,2022
R305X220018,2022
R324A070118,2007
R324A070181,2007
R324A070183,2007
R324A070206,2007
R324A080026,2008
R324A080037,2008
R324A080071,2008
R324A080195,2008
R324A090044,2009
R324A090052,2009
R324A090091,2009
R324A090094,2009
R324A090104,2009
R324A090111,2009
R324A090179,2009
R324A090181,2009
R324A100022,2010
R324A100115,2010
R324A100166,2010
R324A100174,2010
R324A100215,2010
R324A100225,2010
R324A100305,2010
R324A100391,2010
R324A110018,2011
R324A110027,2011
R324A110048,2011
R324A110053,2011
R324A110079,2011
R324A110135,2011
R324A110166,2011
R324A110173,2011
R324A110183,2011
R324A110246,2011
R324A110256,2011
R324A110353,2011
R324A120027,2012
R324A120041,2012
R324A120097,2012
R324A120153,2012
R324A120169,2012
R324A120178,2012
R324A120232,2012
R324A120260,2012
R324A120291,2012
R324A120304,2012
R324A120344,2012
R324A120358,2012
R324A120363,2012
R324A120365,2012
R324A120410,2011
R324A130066,2013
R324A130180,2013
R324A130216,2013
R324A140002,2012
R324A140003,2012
R324A140005,2012
R324A150021,2015
R324A150047,2015
R324A150076,2015
R324A150078,2015
R324A150094,2015
R324A150103,2015
R324A150138,2015
R324A150149,2015
R324A150179,2015
R324A150221,2015
R324A150269,2013
R324A160008,2016
R324A160017,2016
R324A160042,2016
R324A160046,2016
R324A160136,2016
R324A170008,2017
R324A170069,2017
R324A170086,2017
R324A170101,2017
R324A170148,2015
R324A180005,2018
R324A180037,2018
R324A180091,2018
R324A180221,2015
R324A190046,2019
R324A190072,2019
R324A190145,2019
R324A190154,2019
R324A190177,2019
R324A190239,2018
R324A190240,2018
R324A200007,2020
R324A200063,2020
R324A200101,2020
R324A200140,2020
R324A200151,2020
R324A200154,2020
R324A200176,2020
R324A200179,2020
R324A210021,2021
R324A210266,2021
R324A220161,2022
R324A220215,2022
R324B060003,2006
R324B060029,2006
R324B060047,2006
R324B070219,2007
R324C080006,2008
R324C080011,2008
R324C100004,2010
R324C110004,2011
R324C120001,2012
R324C120006,2012
R324D130003,2013
R324E060067,2006
R324E060068,2006
R324E060086,2006
R324E060088,2006
R324G060005,2006
R324N190002,2019
R324N190012,2019
R324R200003,2020
R324R200005,2020
R324S060043,2006
R324X220067,2022
